Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20224018,SA,9,2022,Friday,20:00:00,Single,No,No,No,100,Driver,Female,18,Outer Regional Australia,South Australia - South East,Tatiara,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20224007,SA,9,2022,Tuesday,21:46:00,Single,No,No,No,60,Passenger,Male,17,Major Cities of Australia,Adelaide - North,Salisbury,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20221064,NSW,9,2022,Saturday,09:05:00,Multiple,No,No,No,110,Passenger,Male,14,Inner Regional Australia,Central Coast,Central Coast,National or State Highway,No,No,0_to_16,Weekend,Day,2,No,Day
20223004,Qld,9,2022,Sunday,14:00:00,Single,No,No,No,70,Motorcycle rider,Male,15,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No,0_to_16,Weekend,Day,1,No,Day
20223002,Qld,9,2022,Friday,06:00:00,Multiple,No,No,Yes,100,Driver,Male,18,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20225017,WA,9,2022,Friday,12:26:00,Single,No,No,No,110,Driver,Male,18,-9,-9,-9,-9,No,No,17_to_25,Weekday,Day,1,No,Day
20221070,NSW,9,2022,Tuesday,19:50:00,Single,No,No,No,60,Passenger,Female,15,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,No,No,0_to_16,Weekday,Night,5,No,Night
20221070,NSW,9,2022,Tuesday,19:50:00,Single,No,No,No,60,Passenger,Female,14,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,No,No,0_to_16,Weekday,Night,5,No,Night
20221070,NSW,9,2022,Tuesday,19:50:00,Single,No,No,No,60,Passenger,Female,14,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,No,No,0_to_16,Weekday,Night,5,No,Night
20221070,NSW,9,2022,Tuesday,19:50:00,Single,No,No,No,60,Passenger,Male,15,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,No,No,0_to_16,Weekday,Night,5,No,Night
20221070,NSW,9,2022,Tuesday,19:50:00,Single,No,No,No,60,Passenger,Male,16,Inner Regional Australia,Sydney - Outer South West,Wingecarribee,Local Road,No,No,0_to_16,Weekday,Night,5,No,Night
20222210,Vic,9,2022,Thursday,16:50:00,Single,No,No,No,50,Pedestrian,Male,13,Major Cities of Australia,Melbourne - North East,Mitchell,Local Road,No,No,0_to_16,Weekday,Day,1,No,Day
20225106,WA,8,2022,Saturday,04:02:00,Single,No,No,No,-9,Passenger,Male,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Night,1,No,Night
20222238,Vic,8,2022,Friday,23:00:00,Single,No,No,No,100,Other/-9,Male,16,Outer Regional Australia,Warrnambool and South West,Corangamite,National or State Highway,No,No,0_to_16,Weekend,Night,2,No,Night
20225108,WA,8,2022,Sunday,07:15:00,Single,No,No,No,90,Driver,Female,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,1,No,Day
20225039,WA,8,2022,Thursday,02:24:00,Single,No,No,No,80,Motorcycle rider,Male,17,-9,-9,-9,-9,No,No,17_to_25,Weekday,Night,2,No,Night
20227024,NT,7,2022,Sunday,22:00:00,Single,No,No,No,130,Passenger,Male,15,Remote Australia,Northern Territory - Outback,Coomalie,National or State Highway,No,No,0_to_16,Weekend,Night,1,No,Night
