Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20211086,NSW,8,2021,Saturday,15:25:00,Single,No,No,No,70,Motorcycle rider,Male,18,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Local Road,No,No,17_to_25,Weekend,Day,1,No,Day
20211124,NSW,8,2021,Tuesday,09:10:00,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,Mid North Coast,Kempsey,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20211046,NSW,7,2021,Friday,20:14:00,Multiple,No,Yes,No,100,Pedestrian,Male,15,Inner Regional Australia,Central West,Orange,National or State Highway,No,No,0_to_16,Weekend,Night,1,No,Night
20211063,NSW,6,2021,Sunday,14:00:00,Single,No,No,No,100,Motorcycle rider,Male,18,Outer Regional Australia,Central West,Bland,Local Road,No,No,17_to_25,Weekend,Day,1,No,Day
20211041,NSW,6,2021,Thursday,06:55:00,Single,No,No,No,100,Driver,Female,17,Outer Regional Australia,New England and North West,Tamworth Regional,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20211099,NSW,5,2021,Sunday,01:00:00,Single,No,No,No,50,Motorcycle rider,Male,16,Outer Regional Australia,Richmond - Tweed,Kyogle,Local Road,No,No,0_to_16,Weekend,Night,1,No,Night
20211194,NSW,5,2021,Saturday,20:55:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,New England and North West,Uralla,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20211112,NSW,5,2021,Saturday,20:30:00,Single,No,No,No,80,Pedestrian,Female,14,Major Cities of Australia,Sydney - Sutherland,Sutherland,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20211092,NSW,2,2021,Sunday,02:45:00,Single,No,No,No,100,Driver,Male,16,Inner Regional Australia,Capital Region,Eurobodalla,National or State Highway,No,No,0_to_16,Weekend,Night,1,No,Night
20211002,NSW,2,2021,Saturday,23:00:00,Single,No,No,No,100,Driver,Male,18,Remote Australia,Far West and Orana,Warren,Arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20211186,NSW,2,2021,Saturday,09:10:00,Single,No,No,No,60,Passenger,Male,12,Major Cities of Australia,Central Coast,Central Coast,Local Road,No,No,0_to_16,Weekend,Day,1,No,Day
20211091,NSW,1,2021,Sunday,11:00:00,Single,No,No,No,100,Passenger,Female,18,Outer Regional Australia,Hunter Valley exc Newcastle,Dungog,Local Road,No,No,17_to_25,Weekend,Day,1,No,Day
20211128,NSW,1,2021,Friday,12:28:00,Multiple,No,No,No,100,Driver,Female,18,Outer Regional Australia,Central West,Cowra,Arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20211037,NSW,1,2021,Thursday,12:35:00,Single,No,No,No,70,Pedestrian,Male,17,Major Cities of Australia,Sydney - South West,Liverpool,National or State Highway,No,No,17_to_25,Weekday,Day,1,No,Day
20211076,NSW,1,2021,Friday,22:10:00,Multiple,No,No,No,60,Pedestrian,Female,16,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,Arterial Road,No,No,0_to_16,Weekend,Night,1,No,Night
20201236,NSW,12,2020,Sunday,10:30:00,Single,No,No,No,50,Driver,Male,18,Inner Regional Australia,Capital Region,Upper Lachlan,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20201047,NSW,12,2020,Thursday,14:30:00,Multiple,No,No,No,50,Motorcycle rider,Male,18,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Collector Road,No,No,17_to_25,Weekday,Day,1,No,Day
20201086,NSW,12,2020,Thursday,23:23:00,Single,No,No,No,80,Passenger,Male,18,Major Cities of Australia,Sydney - South West,Camden,Local Road,Yes,No,17_to_25,Weekday,Night,1,No,Night
20201177,NSW,11,2020,Sunday,04:20:00,Single,No,No,No,60,Passenger,Male,15,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No,0_to_16,Weekend,Night,2,No,Night
20201177,NSW,11,2020,Sunday,04:20:00,Single,No,No,No,60,Driver,Male,17,Major Cities of Australia,Sydney - South West,Fairfield,Arterial Road,No,No,17_to_25,Weekend,Night,2,No,Night
20201251,NSW,10,2020,Wednesday,03:33:00,Single,No,No,No,50,Driver,Male,18,Major Cities of Australia,Sydney - Parramatta,Cumberland,Arterial Road,No,No,17_to_25,Weekday,Night,1,No,Night
